is_interactive,	number_of_scripts,	number_of_completed_tutorials,	author_name,	join_date,	features,	activedays,	receivedpositivereviews,	subscribers,	score,	
Array1,	1116,	6,	RBHS Vikings,	2012-04-03 17:32:06,	252,	314,	3,	1,	78,
1,	580,	4,	SocalSam,	2011-08-12 22:41:35,	224,	268,	10,	1,	77,
1,	392,	7,	RetardedUnicorn,	2013-10-30 17:00:19,	186,	53,	24,	4,	56,
1,	305,	5,	Sebastian C. Burckhardt,	2011-09-21 23:40:33,	429,	421,	5,	3,	110,
1,	275,	5,	dhakigodana,	2013-09-27 17:33:07,	99,	53,	1,	0,	33,
1,	237,	3,	arpit christi,	2013-10-01 01:13:33,	299,	52,	3,	0,	55,
1,	228,	2,	white FOX,	2011-11-25 20:46:47,	931,	656,	652,	38,	262,
1,	192,	4,	Inf4mousKid,	2013-01-15 04:10:51,	267,	275,	38,	1,	84,
1,	176,	1,	Michał Moskal,	2011-08-18 01:43:57,	509,	544,	14,	4,	136,
1,	168,	7,	Junjie Lin,	2013-11-20 15:31:33,	117,	6,	1,	0,	27,
1,	155,	5,	Kidlat MC,	2013-10-21 19:10:57,	133,	38,	20,	6,	51,
1,	153,	3,	rahel galato,	2013-06-26 20:47:37,	136,	77,	1,	0,	39,
1,	150,	5,	M3XL Developments,	2013-08-17 01:16:46,	99,	45,	0,	0,	31,
1,	136,	4,	S Johnson,	2013-04-11 14:47:12,	160,	143,	61,	3,	66,
1,	136,	4,	Nikita Lyablin,	2013-02-10 10:15:46,	201,	179,	15,	7,	72,
1,	132,	2,	ZedStudio,	2013-08-18 04:58:51,	425,	134,	3,	1,	77,
1,	124,	2,	Quadcorn,	2012-12-02 20:26:20,	249,	139,	151,	6,	85,
1,	120,	3,	nhnhnhnh,	2011-08-25 11:26:48,	380,	152,	16,	0,	81,
1,	120,	6,	Briana Conger,	2013-10-10 17:24:07,	121,	17,	1,	0,	32,
1,	114,	3,	Vinh Duong,	2013-09-10 17:33:41,	134,	72,	3,	0,	41,
1,	114,	6,	Andrew Harris,	2013-12-09 14:56:36,	117,	7,	0,	0,	27,
1,	112,	7,	User618706,	2013-12-14 10:22:33,	113,	11,	0,	0,	30,
1,	111,	1,	Dave Curtis,	2012-10-26 18:39:01,	407,	99,	9,	1,	77,
1,	108,	3,	paul@work,	2013-11-14 22:41:07,	305,	53,	10,	2,	65,
1,	105,	3,	Kevin Le2,	2013-05-23 06:39:31,	125,	58,	7,	0,	42,
1,	93,	3,	Renard d'Allan,	2013-10-21 01:48:43,	370,	67,	41,	4,	78,
1,	90,	3,	Manuel Fahndrich,	2011-07-25 20:51:22,	365,	277,	29,	2,	94,
1,	90,	3,	jomar horario5,	2013-09-30 17:04:36,	134,	66,	3,	0,	40,
