is_interactive,	number_of_scripts,	number_of_completed_tutorials,	author_name,	join_date,	features,	activedays,	receivedpositivereviews,	subscribers,	score,	
Array0,	880,	5,	Michał Moskal,	2011-08-18 01:43:57,	509,	544,	14,	4,	136,
0,	744,	4,	RBHS Vikings,	2012-04-03 17:32:06,	252,	314,	3,	1,	78,
0,	580,	4,	SocalSam,	2011-08-12 22:41:35,	224,	268,	10,	1,	77,
0,	316,	4,	arpit christi,	2013-10-01 01:13:33,	299,	52,	3,	0,	55,
0,	224,	4,	RetardedUnicorn,	2013-10-30 17:00:19,	186,	53,	24,	4,	56,
0,	192,	4,	Inf4mousKid,	2013-01-15 04:10:51,	267,	275,	38,	1,	84,
0,	183,	3,	Sebastian C. Burckhardt,	2011-09-21 23:40:33,	429,	421,	5,	3,	110,
0,	178,	2,	user 8896,	2011-10-05 09:05:06,	766,	522,	160,	4,	175,
0,	144,	4,	paul@work,	2013-11-14 22:41:07,	305,	53,	10,	2,	65,
0,	124,	4,	Renard d'Allan,	2013-10-21 01:48:43,	370,	67,	41,	4,	78,
0,	120,	3,	nhnhnhnh,	2011-08-25 11:26:48,	380,	152,	16,	0,	81,
0,	120,	2,	SchraySoft,	2011-12-09 18:04:25,	192,	75,	5,	2,	51,
0,	110,	2,	dhakigodana,	2013-09-27 17:33:07,	99,	53,	1,	0,	33,
0,	105,	3,	Kevin Le2,	2013-05-23 06:39:31,	125,	58,	7,	0,	42,
0,	90,	3,	Manuel Fahndrich,	2011-07-25 20:51:22,	365,	277,	29,	2,	94,
0,	90,	3,	jomar horario5,	2013-09-30 17:04:36,	134,	66,	3,	0,	40,
0,	90,	3,	M3XL Developments,	2013-08-17 01:16:46,	99,	45,	0,	0,	31,
0,	84,	2,	Denis Mukhametov,	2012-12-12 03:50:28,	448,	290,	29,	1,	103,
0,	83,	1,	Michael Sean McGhee,	2013-03-24 00:16:11,	72,	45,	0,	0,	29,
0,	80,	4,	Wabbit Apps,	2011-08-03 20:59:17,	1064,	396,	53,	0,	177,
0,	80,	2,	Native Earthling,	2013-09-04 03:36:09,	126,	40,	9,	0,	43,
0,	72,	4,	JayDotNet,	2013-12-09 03:09:50,	131,	14,	0,	0,	32,
0,	68,	2,	S Johnson,	2013-04-11 14:47:12,	160,	143,	61,	3,	66,
0,	68,	2,	Nikita Lyablin,	2013-02-10 10:15:46,	201,	179,	15,	7,	72,
0,	66,	2,	Mister Peli,	2012-10-27 01:59:17,	134,	82,	7,	0,	46,
