"number_of_completed_tutorials","script_ids","author_name"
"14","esih,arrp,psbd,lpos,gvjr,wieya,cbqyhblv,bbxr,ybkm,hntv,wnefrnuh,wsawa,rdjh,lfzo","TouchDevelop Samples"
"13","esih,wieya,lfzo,arrp,psbd,lpos,cbqyhblv,bbxr,wsawa,rdjh,ybkm,hntv,wnefrnuh","TouchDevelop Demo"
"13","wieya,esih,arrp,psbd,lpos,gvjr,cbqyhblv,bbxr,wsawa,ybkm,hntv,wnefrnuh,rdjh","Touchdevelop Sandbox"
"11","bbxr,wsawa,ybkm,hntv,wnefrnuh,cbqyhblv,wieya,gvjr,arrp,psbd,lpos","Christopher Sill"
"11","bbxr,wsawa,ybkm,hntv,wnefrnuh,cbqyhblv,wieya,gvjr,arrp,psbd,lpos","boeing&john"
"11","wwcv,vzij,esih,tuxi,bbxr,wsawa,wieya,gvjr,arrp,psbd,lpos","Jurrijan"
"11","esih,bbxr,ybkm,hntv,wnefrnuh,wsawa,cbqyhblv,wieya,arrp,psbd,lpos","zfrohardt"
"10","wieya,arrp,psbd,lpos,esih,rdjh,gvjr,bbxr,wsawa,cbqyhblv","TouchDevelop Documentation"
"10","wieya,esih,arrp,psbd,lpos,gvjr,rdjh,lfzo,bbxr,wsawa","RBHS Vikings"
"9","wieya,esih,arrp,psbd,lpos,gvjr,bbxr,wsawa,rdjh","peli@touchdevelop"
"9","esih,wieya,bbxr,wsawa,rdjh,cbqyhblv,arrp,psbd,lpos","MichaA‚ Moskal"
"9","bbxr,wsawa,ybkm,hntv,wnefrnuh,arrp,cbqyhblv,psbd,lpos","Ricardo Navarro Filho"
"9","arrp,psbd,lpos,bbxr,wsawa,wieya,foqoa,swyfa,gvjr","Cindy Phanz"
"8","wieya,bbxr,wsawa,gvjr,arrp,psbd,lpos,esih","Just so Awsome"
"8","esih,wieya,bbxr,wsawa,nuri,arrp,psbd,lpos","Pusheen <3"
"8","bbxr,wsawa,nuri,wieya,gvjr,arrp,psbd,lpos","R1C3xN1NJA"
"8","esih,bbxr,wsawa,wieya,gvjr,arrp,psbd,lpos","Kidlat MC"
"8","esih,bbxr,wsawa,wieya,gvjr,arrp,psbd,lpos","User34826"
"8","bbxr,ybkm,hntv,wnefrnuh,wsawa,cbqyhblv,esih,wieya","PeterNG1978"
"8","cbqyhblv,bbxr,wsawa,arrp,psbd,lpos,wieya,rdjh","Adrian_Nita"
"7","esih,bbxr,wsawa,ybkm,hntv,wnefrnuh,cbqyhblv","ZedStudio"
"7","wieya,arrp,psbd,lpos,bbxr,wsawa,nuri","parmjit gill"
"7","arrp,psbd,lpos,bbxr,wsawa,wieya,lfzo","ColdPlay_Paradise"
"7","wieya,cbqyhblv,arrp,psbd,lpos,foqoa,swyfa","rahel galato"
"7","wieya,arrp,psbd,lpos,bbxr,wsawa,esih","S Johnson"
"7","esih,lfzo,gvjr,wieya,arrp,psbd,lpos","Inf4mousKid"
"7","gvjr,esih,wieya,arrp,psbd,lpos,nuri","Tobuscus"
"7","esih,bbxr,ybkm,hntv,wnefrnuh,wsawa,cbqyhblv","Sukree Sinthupinyo"
"7","wieya,nuri,vvpx,arrp,psbd,lpos,esih","hay nakei!"
"7","bbxr,wsawa,arrp,psbd,lpos,wieya,rdjh","David Renton"
"7","bbxr,wsawa,esih,wieya,arrp,psbd,lpos","bulletkitten"
"7","esih,bbxr,ybkm,hntv,wnefrnuh,wsawa,cbqyhblv","Jake the man"
"7","vvpx,gvjr,esih,bbxr,wsawa,foqoa,swyfa","User57141"
"7","bbxr,wsawa,esih,wieya,arrp,psbd,lpos","KrisWard"
"7","bbxr,wsawa,wieya,gvjr,arrp,psbd,lpos","RobinPB520"
"7","wieya,arrp,psbd,lpos,bbxr,wsawa,lfzo","User85075"
"7","wieya,gvjr,arrp,psbd,lpos,bbxr,wsawa","hotAstrid"
"7","bbxr,wsawa,wieya,arrp,psbd,lpos,lfzo","Timbernguyen"
"7","bbxr,wsawa,wieya,arrp,psbd,lpos,lfzo","User32232"
"7","bbxr,wsawa,wieya,arrp,psbd,lpos,lfzo","PTPT1804"
"7","bbxr,wsawa,wieya,arrp,psbd,lpos,lfzo","xXKaSuKy2Xx"
"6","esih,bbxr,wsawa,arrp,psbd,lpos","user 8896"
"6","wieya,bbxr,wsawa,arrp,psbd,lpos","AndyRageMaster"
"6","esih,wieya,gvjr,arrp,psbd,lpos","Andrew Wang the bomb"
"6","esih,wieya,gvjr,arrp,psbd,lpos","heyitevilynnn"
"6","bbxr,wsawa,wieya,arrp,psbd,lpos","User869131"
"6","bbxr,wsawa,lfzo,arrp,psbd,lpos","babulpradhan2"
"6","bbxr,wsawa,esih,arrp,psbd,lpos","Native Earthling"
"6","arrp,psbd,lpos,esih,bbxr,wsawa","TheMurfitt"
"6","esih,bbxr,wsawa,arrp,psbd,lpos","User73980"
"6","esih,arrp,psbd,lpos,bbxr,wsawa","Schlicki2808"
"6","esih,arrp,psbd,lpos,gvjr,wieya","Mister Peli"
"6","bbxr,wsawa,wieya,arrp,psbd,lpos","User203620"
"6","arrp,psbd,lpos,esih,bbxr,wsawa","hiyayakko"
"6","bbxr,wsawa,gvjr,arrp,psbd,lpos","themeltedcrayon"
