"is_interactive","number_of_scripts","number_of_completed_tutorials","author_name","join_date","features","activedays","receivedpositivereviews","subscribers","score"
"1","2136","8","RBHS Vikings","2012-04-03 17:32:06","250","272","2","1","73"
"1","585","8","rahel galato","2013-06-26 20:47:37","131","62","1","0","38"
"1","423","8","Inf4mousKid","2013-01-15 04:10:51","235","229","27","0","74"
"1","420","10","Kidlat MC","2013-10-21 19:10:57","131","29","20","6","50"
"1","396","6","dhakigodana","2013-09-27 17:33:07","89","36","1","0","30"
"1","384","3","SocalSam","2011-08-12 22:41:35","205","239","7","1","69"
"1","351","7","User955734","2013-05-05 03:23:45","141","24","0","0","34"
"1","312","8","Samuel Woldemariam","2013-09-09 17:39:53","84","48","0","0","30"
"1","300","6","Kevin Le2","2013-05-23 06:39:31","103","44","5","0","37"
"1","270","7","Vinh Duong","2013-09-10 17:33:41","108","51","2","0","35"
"1","270","8","jomar horario5","2013-09-30 17:04:36","124","43","3","0","37"
"1","259","6","User62505-JDP","2013-03-21 04:55:56","77","29","1","0","28"
"1","252","6","ColdPlay_Paradise","2012-09-18 17:13:55","195","82","2","0","47"
"1","237","3","user 8896","2011-10-05 09:05:06","711","475","143","5","164"
"1","232","2","white FOX","2011-11-25 20:46:47","931","654","645","37","261"
"1","225","8","simret gebrehiowt","2013-09-09 17:36:32","94","39","2","0","32"
"1","225","8","Julie Nguyen","2013-09-10 17:19:21","101","42","3","0","35"
"1","224","6","Elvis Presley","2013-09-09 17:26:29","89","42","1","0","31"
"1","224","3","User85075","2012-09-18 17:16:28","246","121","8","0","62"
"1","220","4","David Renton","2012-10-25 02:25:30","178","141","124","5","75"
"1","210","9","Tobuscus","2013-10-24 20:55:22","114","16","1","0","31"
"1","200","7","THE_BOMB.COM","2013-09-04 18:32:22","96","26","10","3","42"
"1","196","7","S Johnson","2013-04-11 14:47:12","145","112","53","3","60"
"1","192","6","catherine nguyen","2013-09-11 17:18:19","104","36","1","0","32"
"1","186","5","Mister Peli","2012-10-27 01:59:17","132","55","7","0","43"
"1","185","5","User31837","2013-03-24 21:46:26","269","44","1","0","49"
"1","182","6","Cindy Phanz","2012-10-23 00:04:05","205","104","1","0","49"
"1","177","3","Sebastian C. Burckhardt","2011-09-21 23:40:33","421","388","4","2","104"
"1","176","4","ZedStudio","2013-08-18 04:58:51","332","87","0","0","59"
"1","174","3","Manuel Fahndrich","2011-07-25 20:51:22","365","272","28","2","94"
"1","162","6","delivilla","2013-09-11 17:21:38","96","43","0","0","31"
"1","150","4","hotAstrid","2012-09-18 17:15:35","188","98","5","4","54"
"1","144","2","Sore Finger","2011-11-19 07:21:25","503","245","291","16","140"
"1","140","6","Panda Rica Garcia","2013-09-09 17:37:39","94","38","0","0","30"
"1","124","2","Quadcorn","2012-12-02 20:26:20","249","138","90","5","78"
"1","120","2","SchraySoft","2011-12-09 18:04:25","192","75","5","2","51"
"1","120","3","LivePp22","2012-09-18 17:13:35","196","103","3","1","51"
"1","119","6","Avemaoe Leomiti","2013-06-24 20:47:25","76","13","0","0","26"
"1","117","6","Abhishek10","2013-11-08 16:13:59","84","15","2","0","29"
"1","112","6","William Sanders","2013-09-11 17:21:28","61","27","0","0","26"
"1","112","7","Duckington Hassleberry","2013-09-04 12:28:50","70","12","1","1","28"
"1","111","1","Dave Curtis","2012-10-26 18:39:01","407","96","9","1","77"
"1","108","3","Native Earthling","2013-09-04 03:36:09","111","29","9","0","40"
"1","108","4","Mephisztoe","2012-06-05 16:05:06","255","87","3","0","54"
"1","105","3","Dusty Cat","2013-01-16 01:47:18","409","240","39","3","97"
"1","105","7","GPAppDev","2013-08-02 16:28:44","147","64","0","0","38"
"1","102","3","Denis Mukhametov","2012-12-12 03:50:28","337","244","10","1","86"
"1","100","3","alex flores","2013-09-09 17:37:11","81","37","2","0","31"
"1","99","10","Jing Rechard","2013-09-21 15:52:06","82","13","0","0","27"
"1","98","7","zfrohardt","2013-06-25 00:26:50","210","44","0","0","43"
"1","98","6","agoni yun","2013-01-15 17:27:57","153","58","2","0","40"
"1","96","5","Pusheen <3","2013-10-03 06:20:22","103","32","45","7","51"
"1","91","6","cyberrunner24","2013-05-03 01:03:10","21","41","0","1","25"
"1","91","6","kye joy18","2013-06-24 20:47:22","69","17","0","0","25"
"1","90","3","Schlicki2808","2011-08-31 18:02:05","453","166","9","0","88"
"1","90","5","Jurrijan","2013-08-27 16:28:52","156","18","0","0","34"
"1","88","7","RobinPB520","2013-09-06 21:25:26","68","5","0","0","20"
"1","84","4","Helen Nguyen","2013-09-09 17:35:45","95","38","0","0","30"
"1","84","5","zacaria ismael","2013-09-09 17:32:38","82","35","0","0","29"
"1","84","6","PeterNG1978","2013-08-13 14:27:16","125","23","0","0","32"
"1","83","1","Michael Sean McGhee","2013-03-24 00:16:11","72","45","0","0","29"
"1","80","4","theimpossiblegirl","2013-09-04 18:33:43","112","26","8","1","40"
"1","80","7","Harry Holmes","2013-10-15 15:51:37","88","5","1","0","23"
"1","80","7","Octopickle","2013-11-09 17:47:56","59","7","0","0","21"
"1","77","6","Toree Mann","2013-09-10 17:19:15","80","29","2","0","30"
