"is_interactive","number_of_scripts","number_of_completed_tutorials","author_name","join_date","features","activedays","receivedpositivereviews","subscribers","score"
"1","1068","6","RBHS Vikings","2012-04-03 17:32:06","250","272","2","1","73"
"1","256","2","SocalSam","2011-08-12 22:41:35","205","239","7","1","69"
"1","232","4","Manuel Fahndrich","2011-07-25 20:51:22","365","272","28","2","94"
"1","220","5","dhakigodana","2013-09-27 17:33:07","89","36","1","0","30"
"1","180","6","Kidlat MC","2013-10-21 19:10:57","131","29","20","6","50"
"1","177","3","Sebastian C. Burckhardt","2011-09-21 23:40:33","421","388","4","2","104"
"1","158","2","user 8896","2011-10-05 09:05:06","711","475","143","5","164"
"1","141","3","Inf4mousKid","2013-01-15 04:10:51","235","229","27","0","74"
"1","135","3","rahel galato","2013-06-26 20:47:37","131","62","1","0","38"
"1","120","2","SchraySoft","2011-12-09 18:04:25","192","75","5","2","51"
"1","116","1","white FOX","2011-11-25 20:46:47","931","654","645","37","261"
"1","111","1","Dave Curtis","2012-10-26 18:39:01","407","96","9","1","77"
"1","102","6","Briana Conger","2013-10-10 17:24:07","83","11","1","0","28"
"1","90","6","RetardedUnicorn","2013-10-30 17:00:19","101","10","0","0","29"
"1","88","2","ZedStudio","2013-08-18 04:58:51","332","87","0","0","59"
"1","84","3","S Johnson","2013-04-11 14:47:12","145","112","53","3","60"
"1","84","4","Wabbit Apps","2011-08-03 20:59:17","829","348","39","0","146"
"1","83","1","Michael Sean McGhee","2013-03-24 00:16:11","72","45","0","0","29"
"1","81","3","jomar horario5","2013-09-30 17:04:36","124","43","3","0","37"
"1","78","6","User55899","2013-11-21 21:58:38","79","2","0","0","18"
"1","72","2","nhnhnhnh","2011-08-25 11:26:48","354","127","15","0","75"
"1","72","6","Elliot Zhao","2013-09-04 22:08:14","114","28","1","0","32"
"1","72","3","erich3115","2013-08-15 01:16:13","18","12","0","0","20"
"1","70","2","Dusty Cat","2013-01-16 01:47:18","409","240","39","3","97"
"1","68","4","Gibranal NN","2013-06-03 15:08:49","147","35","2","0","37"
"1","64","4","theimpossiblegirl","2013-09-04 18:33:43","112","26","8","1","40"
"1","64","4","arpit christi","2013-10-01 01:13:33","185","27","1","0","39"
"1","60","3","THE_BOMB.COM","2013-09-04 18:32:22","96","26","10","3","42"
"1","60","5","Darbi Finney","2013-10-04 18:19:30","99","11","0","0","28"
"1","60","2","Vinh Duong","2013-09-10 17:33:41","108","51","2","0","35"
