is_interactive,number_of_scripts,number_of_completed_tutorials,author_name,join_date,features,activedays,receivedpositivereviews,subscribers,score
0,890,4,RBHS Vikings,03/04/2012 17:32,250,272,2,1,73
0,348,3,white FOX,25/11/2011 20:46,931,654,645,37,261
0,256,2,SocalSam,12/08/2011 22:41,205,239,7,1,69
0,237,3,user 8896,05/10/2011 09:05,711,475,143,5,164
0,224,4,User85075,18/09/2012 17:16,246,121,8,0,62
0,216,3,Sore Finger,19/11/2011 07:21,503,245,291,16,140
0,186,3,Quadcorn,02/12/2012 20:26,249,138,90,5,78
0,174,3,Manuel Fahndrich,25/07/2011 20:51,365,272,28,2,94
0,148,4,User31837,24/03/2013 21:46,269,44,1,0,49
0,140,4,ColdPlay_Paradise,18/09/2012 17:13,195,82,2,0,47
0,135,2,rahel galato,26/06/2013 20:47,131,62,1,0,38
0,132,3,ZedStudio,18/08/2013 04:58,332,87,0,0,59
0,132,3,David Renton,25/10/2012 02:25,178,141,124,5,75
0,120,3,Kidlat MC,21/10/2013 19:10,131,29,20,6,50
0,117,3,User955734,05/05/2013 03:23,141,24,0,0,34
0,108,3,Native Earthling,04/09/2013 03:36,111,29,9,0,40
0,102,3,User0537,05/08/2011 16:14,177,3,0,0,29
0,94,2,Inf4mousKid,15/01/2013 04:10,235,229,27,0,74
0,93,3,CoatsyAus,20/07/2012 03:15,352,186,43,3,87
0,90,3,Schlicki2808,31/08/2011 18:02,453,166,9,0,88
0,90,6,Jurrijan,27/08/2013 16:28,156,18,0,0,34
0,90,3,hotAstrid,18/09/2012 17:15,188,98,5,4,54
0,90,3,LivePp22,18/09/2012 17:13,196,103,3,1,51
0,84,3,S Johnson,11/04/2013 14:47,145,112,53,3,60
0,81,3,jomar horario5,30/09/2013 17:04,124,43,3,0,37
0,78,3,Cindy Phanz,23/10/2012 00:04,205,104,1,0,49
0,75,3,User83481,24/01/2012 18:32,293,65,1,0,54
0,74,1,User62505-JDP,21/03/2013 04:55,77,29,1,0,28
0,72,3,Connor Sharples,21/08/2012 16:47,211,80,15,2,59
0,72,3,Miguel HM,03/04/2012 17:17,134,33,2,1,37
0,70,2,edbalbon,30/12/2011 05:36,234,59,4,0,50
0,69,3,Ahad Islam,02/05/2013 09:31,193,149,49,3,67
0,69,3,hassaun hastings,22/01/2013 17:13,134,79,0,0,38
0,68,2,Denis Mukhametov,12/12/2012 03:50,337,244,10,1,86
0,66,3,cookedkiwis,15/06/2013 05:55,160,22,0,0,36
0,63,3,TheMurfitt,19/10/2013 20:27,149,28,0,0,34
0,63,3,hiyayakko,12/10/2013 01:00,104,32,2,0,33
0,63,3,Salim Usman,07/10/2013 11:11,24,4,1,0,16
0,63,3,together three,16/03/2012 02:11,280,135,18,0,69
0,63,3,User7695,07/08/2011 21:28,193,17,9,0,47
0,60,1,Kevin Le2,23/05/2013 06:39,103,44,5,0,37
0,60,2,User804691,31/05/2013 02:44,88,10,2,0,29
0,59,1,Sebastian C. Burckhardt,21/09/2011 23:40,421,388,4,2,104
0,57,3,Jake the man,05/05/2013 04:10,328,61,0,0,56
0,57,3,KLaw3000,25/02/2013 20:44,96,25,1,0,30
0,56,4,zfrohardt,25/06/2013 00:26,210,44,0,0,43
0,56,4,PTPT1804,26/09/2012 17:15,123,39,3,0,36
0,54,2,michalcomputerstudio,12/01/2013 15:22,281,60,5,1,58
0,54,2,Mephisztoe,05/06/2012 16:05,255,87,3,0,54
0,52,1,Samuel Woldemariam,09/09/2013 17:39,84,48,0,0,30
0,52,4,babulpradhan2,03/04/2013 03:08,137,16,2,0,34
0,52,2,Sascha M. B.,25/10/2011 17:34,736,248,143,3,141
0,52,4,xXKaSuKy2Xx,19/09/2012 17:06,131,39,4,0,38
0,51,3,User73980,08/10/2013 18:16,201,40,0,0,42
0,51,3,User55440,07/08/2012 13:43,136,74,3,0,41
0,51,2,Avemaoe Leomiti,24/06/2013 20:47,76,13,0,0,26
0,50,2,mherndon6,31/05/2013 02:46,82,9,0,1,27
0,48,3,Pusheen <3,03/10/2013 06:20,103,32,45,7,51
0,48,2,RBXSystems,08/09/2013 00:48,176,60,3,0,44
0,48,3,Yiruma rOn,26/10/2012 17:21,188,63,1,0,43
0,48,4,Adrian_Nita,24/10/2012 21:30,100,69,7,0,41
0,46,2,Mob App World,19/11/2012 20:44,27,20,3,1,26
0,45,3,Mr.Capers,18/09/2012 17:14,201,88,16,0,56
0,45,3,User99545,18/09/2012 17:19,115,41,0,0,33
0,45,3,SkinJobZed,17/09/2012 17:32,96,29,1,0,30
0,45,3,User55121,03/04/2012 17:21,87,29,0,1,29
0,44,1,dhakigodana,27/09/2013 17:33,89,36,1,0,30
0,44,4,Timbernguyen,18/09/2012 17:24,124,45,2,0,36
0,44,4,justin jones,26/09/2012 17:09,80,28,2,0,30
0,44,4,User32232,26/09/2012 17:16,136,31,2,0,36
0,44,1,Sam870902,13/02/2012 17:58,76,137,3,0,41
0,42,3,PeterNG1978,13/08/2013 14:27,125,23,0,0,32
0,42,3,Alex Young,04/02/2013 17:12,124,66,0,0,36
0,40,1,THE_BOMB.COM,04/09/2013 18:32,96,26,10,3,42
0,39,3,parmjit gill,11/09/2013 12:31,111,18,3,2,35
0,39,3,MS Pil Egypt,20/05/2013 11:53,103,47,1,0,33
0,39,3,YashodaR,21/09/2012 17:04,109,25,1,0,31
0,38,2,Bikramjit Singh,22/06/2013 01:23,39,9,0,0,21
0,38,2,Diana Ford,31/05/2013 02:26,72,18,0,0,26
0,38,2,Petri Asperk,25/10/2012 17:40,134,63,1,0,38
0,38,1,Tracie Kalehuawehe,15/11/2012 02:35,35,2,0,0,14
0,38,2,Grant Bronsdon,23/07/2011 01:49,182,32,32,4,55
0,36,3,Oboboss11,04/09/2013 12:30,102,21,4,2,36
0,36,1,delivilla,11/09/2013 17:21,96,43,0,0,31
0,36,3,Isac Daniel ,04/06/2013 05:24,189,42,4,2,46
0,36,2,janlk701,07/07/2012 23:15,372,102,39,0,77
0,36,2,User32226,17/02/2013 15:57,163,25,3,0,39
0,35,1,Dusty Cat,16/01/2013 01:47,409,240,39,3,97
0,34,2,Lanky_boi_rayza,20/01/2013 23:53,149,48,0,0,36
0,34,2,coolbeaf,16/10/2011 00:36,81,82,3,0,37
0,34,2,Jackie Tsui,01/06/2013 20:56,103,14,0,0,29
0,33,3,RobinPB520,06/09/2013 21:25,68,5,0,0,20
0,33,3,cakemix6009,04/06/2013 05:38,70,17,0,0,26
0,33,3,CodeWallyz,01/03/2013 15:26,90,14,1,0,29
0,33,3,anaintuneric,25/10/2012 12:44,124,52,6,0,41
