"name","Number_of_occurences"
"script","27510"
"commands","27247"
"code","26715"
"assignment","18367"
"var","16626"
"String","14713"
"Number","14360"
"if","13056"
"Wall","12605"
"Colors","12292"
"events","11809"
"Media","11373"
"data","11183"
"StringPostToWall","11085"
"actionParameter","10056"
"art","8930"
"Board","8899"
"NumberSubtract","8713"
"NumberAdd","8511"
"Sprite","8206"
"Math","8096"
"libraries","7211"
"for","7201"
"Boolean","6950"
"NumberMultiply","6947"
"BoardPostToWall","6931"
"comment","6910"
"NumberGt","6413"
"BoardUpdateOnWall","6139"
"StringConcatOp","5962"
"SpriteSetPos","5822"
"BoardCreatePicture","5584"
"NumberLt","5439"
"Time","5206"
"NumberDivide","5151"
"NumberEq","5113"
"ColorsRandom","5055"
"SpriteSetColor","4951"
"Picture","4936"
"BoardCreateText","4655"
"BoardEvolve","4602"
"Sound","4508"
"SpriteY","4412"
"SoundPlay","4313"
"foreach","4194"
"elseIf","4072"
"BoardSetGravity","3882"
"Senses","3766"
"WallSetBackground","3648"
"MediaCreateLandscapeBoard","3596"
"SpriteX","3586"
"WallClear","3539"
"WallSetBackgroundPicture","3488"
"BoardWidth","3420"
"BoardCreateSpriteSet","3414"
"ColorsBlack","3392"
"SpriteSet","3340"
"BoardHeight","3335"
"SpriteSetAdd","3326"
"exportable","3309"
"MathRandom","3270"
"inlineActions","3240"
"BooleanOr","3220"
"MediaSongs","3206"
"NumberToString","3142"
"Song","3118"
"Web","3086"
"SpriteSetSpeedY","3054"
"BooleanNot","3027"
"PicturePostToWall","3019"
"Songs","3005"
"SpriteSetWidth","2979"
"BooleanAnd","2743"
"ColorsRed","2736"
"while","2729"
"StringEquals","2708"
"ColorsWhite","2667"
"SongPlay","2661"
"BoardCreateEllipse","2606"
"SpriteSetText","2579"
"Vector3","2543"
"SpriteSetSpeedX","2496"
"Color","2383"
"SongsRandom","2381"
"DateTime","2363"
"Vector3X","2347"
"SpriteSetFriction","2341"
"WallAskString","2303"
"MathRandomRange","2242"
"TimeSleep","2237"
"BoardCreateRectangle","2231"
"ColorsBlue","2224"
"Collections","2191"
"recordDef","2167"
"NumberGe","2069"
"BoardCreateBoundary","2062"
"TimeNow","2048"
"NumberLe","2022"
"BoardSetBackground","2007"
"StringCollection","1979"
"Box","1947"
"BoxIsInit","1928"
"pages","1925"
"ColorsGreen","1922"
"Phone","1900"
"SpriteSetY","1868"
"library","1861"
"WallSetTitle","1837"
"WallPrompt","1832"
"SpriteSpeedX","1813"
"WallCreateTextBox","1758"
"SpriteHide","1707"
"WallAskBoolean","1669"
"BoardSetBackgroundPicture","1666"
"TextBox","1627"
"NumberPostToWall","1618"
"SpriteSetAngularSpeed","1607"
"Bazaar","1607"
"Vector3Y","1601"
"TextBoxPostToWall","1597"
"SpriteSetX","1585"
"BoardAddOnEveryFrame","1561"
"WallAskNumber","1552"
"ColorsAccent","1546"
"MediaCreatePicture","1508"
"SpriteSetSpeed","1497"
"ColorsOrange","1488"
"boxed","1485"
"TimeStop","1481"
"PhoneVibrate","1470"
"SensesAccelerationQuick","1464"
"SpriteShow","1440"
