feature_name,Number_of_occurences
script,111
code,109
commands,108
assignment,84
var,82
comment,81
Number,79
libraries,70
art,69
if,61
for,52
NumberSubtract,46
Wall,43
NumberAdd,42
NumberMultiply,41
Math,40
NumberGt,38
SoundPlay,35
Sound,35
Board,34
Sprite,33
inlineActions,33
Colors,33
WallSetBackgroundPicture,32
BoardCreatePicture,32
foreach,32
SpriteY,30
MathRandomRange,28
Senses,28
NumberLt,28
SpriteSetSpeedY,27
SensesAccelerationQuick,26
Vector3X,26
Vector3,26
ColorsRandom,26
Boolean,25
BoardCreateSpriteSet,24
SpriteSetAdd,24
SpriteSet,24
BoardHeight,24
BoardAddOnEveryFrame,23
SpriteSetSpeedX,23
String,23
SpriteSetWidth,22
BoardWidth,22
SpriteX,22
BooleanOr,20
SpriteSetX,19
SpriteSetY,19
actionParameter,19
NumberEq,18
NumberDivide,17
SpriteOverlapsWith,16
data,16
StringPostToWall,15
events,15
NumberPostToWall,13
BoxIsInit,13
Box,13
pages,13
Media,13
Vector3Y,12
Picture,12
SpriteSetPos,11
while,11
MathRandom,11
recordDef,11
PicturePostToWall,10
SpriteSetHeight,9
SpriteSetAngularSpeed,9
BoardCreateText,9
Bazaar,9
Time,9
SpriteOnTap,8
exportable,8
BoardUpdateOnWall,8
BoardSetGravity,7
StringConcatOp,7
boxed,7
TimeStop,7
BoardPostToWall,7
BoardEvolve,7
SpriteSpeedX,6
CloudDataEveryoneSession,6
CloudData,6
CloudDataSwitchToSession,6
StringField,6
BoxOnTapped,6
ColorsBlue,6
MediaCreateLandscapeBoard,6
SpriteSetText,6
BazaarPostLeaderboardScore,6
BazaarPostLeaderboardToWall,6
BoardCreateEllipse,5
WallAskNumber,5
WallClear,5
SpriteSetFriction,5
ColorsOrange,4
SpriteSetColor,4
ColorsWheel,4
StringFieldGet,4
StringEquals,4
BoxUseHorizontalLayout,4
StringFieldSet,4
elseIf,4
entry,4
SpriteSetAt,4
ColorsFromHsb,3
WallAskString,3
BazaarCurrentUser,3
BoxSetFontSize,3
BoxSetWidth,3
BooleanEquals,3
NumberFieldGet,3
NumberField,3
NumberFieldSet,3
ColorsWhite,3
MediaSongs,3
SongsRandom,3
Songs,3
SongPlay,3
Song,3
MathAbs,3
BoardSetBackgroundPicture,3
ColorsBlack,3
BoardCreateRectangle,3
TimeSleep,3
Languages,3
SpriteSetAccelerationY,2
CollectionsCreateStringCollection,2
Collections,2
StringCollectionAdd,2
StringCollection,2
StringCollectionRandom,2
NumberToString,2
entryIndexAt,2
entryIndex,2
ColorsRed,2
MathSqrt,2
MediaSavedPictures,2
PicturesRandom,2
Pictures,2
WallCreateTextBox,2
TextBoxPostToWall,2
TextBox,2
library,2
groceryTableAddRow,2
groceryTable,2
groceryName,2
grocery,2
groceryQuantity,2
orderIndexAt,2
orderIndex,2
orderQuantity,2
order,2
WallPushNewPage,2
WallPopPage,2
SensesCurrentLocation,2
LocationPostToWall,2
Location,2
WallPrompt,2
Vector3Z,2
WallSetBackground,2
Color,2
entryUser,2
UserFieldGet,2
UserField,2
entryTime,2
DateTimeFieldGet,2
DateTimeField,2
entryText,2
MediaCreatePicture,2
ColorsLightGray,2
PictureClear,2
MathDegToRad,2
MathCos,2
MathSin,2
MathPi,2
ColorsCyan,2
ColorsMagenta,2
ColorsDarkGray,2
PictureFillEllipse,2
BoardSetBackground,2
SpriteWidth,2
SpriteSetSpeed,2
SpriteSetAngle,2
SpriteSpeedY,2
LanguagesTranslate,2
SocialSearch,2
Social,2
MessageCollectionPostToWall,2
MessageCollection,2
MessageMessage,2
Message,2
StringIsInvalid,2
BooleanNot,2
MessageSetMessage,2
NumberCollectionAt,2
NumberCollection,2
StringCount,2
StringAt,2
actionBinding,2
resolveClause,2
BoardSetDebugMode,1
voteCutest,1
vote,1
voteIndexAt,1
voteIndex,1
voteIndexCount,1
entryTapCount,1
NumberFieldAdd,1
BoxSetMargins,1
BoxSetHeight,1
entryVote,1
ColorsForeground,1
BoxSetBorder,1
entryIndexCount,1
BoxUseOverlayLayout,1
ColorsLinearGradient,1
WebCreateRequest,1
Web,1
WebRequestSetMethod,1
WebRequest,1
WebRequestSetHeader,1
WebRequestSend,1
WebResponseStatusCode,1
WebResponse,1
SensesAccelerationSmooth,1
Vector3PostToWall,1
SensesTakeCameraPicture,1
PictureTint,1
PictureShare,1
ColorsSepia,1
ColorPostToWall,1
MediaCreateBoard,1
ColorsTransparent,1
BoardCreateAnchor,1
SpriteColor,1
PictureCrop,1
ColorHue,1
SpriteSetCount,1
SpriteAngle,1
MathRound,1
PictureDrawEllipse,1
SpriteHide,1
SpriteShow,1
PictureClone,1
MediaCreatePortraitBoard,1
LanguagesSpeakText,1
ColorsGreen,1
Vector3Scale,1
ColorsFromRgb,1
BoxSetHorizontalStretch,1
BoxSetHorizontalAlign,1
BazaarLeaderboardScore,1
SpriteSetZIndex,1
